2-9-2020
Entire Season - home
Oklahoma City, 2, 2, 0.200000, 51.400000, 11.600000, 21.400000, 27.100000, 52.200000, 12.500000, 28.400000, 12.800000
Orlando, 0, 3, -15.600000, 43.000000, 9.200000, 23.300000, 16.200000, 54.300000, 16.000000, 29.000000, 23.800000
Philadelphia, 4, 0, 13.500000, 59.200000, 18.000000, 24.400000, 19.600000, 50.200000, 17.100000, 20.700000, 19.700000
Phoenix, 1, 2, 4.800000, 54.800000, 18.000000, 31.400000, 30.700000, 51.200000, 14.700000, 29.400000, 22.000000
Portland, 5, 0, 11.900000, 61.400000, 14.700000, 30.000000, 17.500000, 52.700000, 9.700000, 21.500000, 17.400000
Sacramento, 3, 2, -5.800000, 56.300000, 14.800000, 24.000000, 16.100000, 57.000000, 15.800000, 30.700000, 22.700000
San Antonio, 2, 1, 7.600000, 55.900000, 12.400000, 18.900000, 24.900000, 51.400000, 13.100000, 26.000000, 19.800000
Toronto, 4, 0, 14.200000, 58.400000, 10.500000, 27.200000, 21.100000, 54.000000, 15.500000, 27.300000, 18.700000
Utah, 2, 2, -1.800000, 54.300000, 14.900000, 24.600000, 17.800000, 52.900000, 11.500000, 22.500000, 17.800000
Washington, 3, 2, 1.000000, 51.100000, 11.600000, 25.800000, 20.600000, 50.900000, 13.200000, 30.600000, 17.600000

Last 2 Weeks - away
Atlanta, 1, 3, -12.300000, 50.500000, 15.700000, 23.200000, 24.400000, 56.100000, 11.800000, 21.900000, 21.000000
